uuid;product;description;price
6c3276c6-f490-49d8-9153-63a59ce89381;Bacon;The Football Is Good For Training And Recreational Purposes;728.00
bf9ed6ad-b128-480d-a159-b11231c366e4;Frango;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;864.00
5b045124-6660-4800-9d22-991ff5884619;Calças;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;368.00
4c1bb474-7a74-4fae-a937-0e4d2754e027;Salsicha;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;287.00
0aa8d433-9022-41bd-bb94-4f6d0543e733;Toalhas;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;568.00
eb9045bc-f322-4712-8b02-5fdd23a78230;Pizza;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;185.00
03b5608f-2be0-4be9-ab58-67c84a54bbfc;Mesa;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;645.00
471d04b3-9a1d-41d8-a937-354877c43c26;Mouse;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;620.00
e14b7c19-7ca2-4019-a5f0-12110f3646bc;Carro;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;235.00
4d3b4563-f5f0-48dd-9490-939767b93e58;Sabonete;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;648.00
a0b5839c-4167-4523-bf7f-a4771b26be9d;Mouse;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;600.00
9146bd36-c1a2-499c-9655-c7542b67e17b;Sabonete;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;105.00
9ff09cd4-ad5e-4dae-985e-c6e7aa880fa8;Salsicha;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;111.00
68570b48-986d-4007-9867-984a80f3117e;Chapéu;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;713.00
0b76f774-992c-4337-9deb-374ca0e1d21e;Carro;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;407.00
53aa4a53-4ffb-4e6b-9781-d978ed50a6e7;Bicicleta;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;121.00
462f815c-5460-4127-9f68-3323ef7b0ef9;Bacon;The Football Is Good For Training And Recreational Purposes;902.00
c26fe443-d075-45a0-b18b-cad9c54eb1e6;Teclado;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;87.00
b140cfad-3202-4883-ad71-7bb4b3d0ab1d;Calças;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;421.00
59472c1e-afed-49e3-928a-6d5092d51f33;Pizza;The Football Is Good For Training And Recreational Purposes;978.00
5d95fb61-e421-432c-810b-56025900cd60;Peixe;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;183.00
aa8f980e-4f73-46be-9cfb-3ff1b58efe0e;Bicicleta;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;300.00
3a81e173-b680-41d6-bfee-128ef317e814;Computador;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;913.00
4074a333-5147-43b0-a265-4c552c7935cb;Mouse;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;274.00
75c84b08-a157-459a-bb70-df53c53b67dc;Bicicleta;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;314.00
db5f95fd-f0b2-479a-8977-b32db22a5f87;Bicicleta;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;69.00
7f82dcdf-49d5-4f42-b9ec-3705afd3e1ee;Bola;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;249.00
8cc8d4cb-4c8d-41b0-adbc-1b8d7f379dc2;Mesa;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;849.00
73b16edc-5fc6-4795-a954-be7717703de3;Queijo;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;578.00
af0193b7-089e-4b95-ad5e-b78101d7b853;Bicicleta;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;106.00
c5a6e579-1728-4453-a2b9-8cfa96eca4d4;Peixe;New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016;365.00
